,Chapter Number,Number of Words,Number of Sentences,Misspelled Words,Flesch Reading Ease,Flesch Grade,Smog Index,Coleman Liau Readability,Automated Readability Index,Dale-Chall Readability,Linsear Write Formula,Gunning Fog,Text Standard,surprise,disgust,positive,sadness,anger,fear,joy,trust,anticipation,negative,all_pos,all_neg,net
0,1,191,8,32,80.65,8.0,7.6,5.0,8.9,6.55,7.666666666666666,10.54,7th and 8th grade,0.015706806282722516,0.0,0.04712041884816753,0.0,0.0,0.0,0.020942408376963352,0.020942408376963352,0.02617801047120419,0.0,0.11518324607329841,0.0,0.11518324607329841
1,2,717,35,90,93.37,5.2,6.3,3.77,6.1,5.46,10.4,8.32,5th and 6th grade,0.005571030640668524,0.0,0.016713091922005572,0.004178272980501393,0.0,0.004178272980501393,0.006963788300835654,0.018105849582172703,0.01532033426183844,0.009749303621169917,0.057103064066852366,0.018105849582172703,0.03899721448467966
2,3,461,20,67,82.27,7.4,7.7,5.11,8.1,5.81,10.8,9.87,7th and 8th grade,0.006493506493506494,0.004329004329004329,0.0303030303030303,0.004329004329004329,0.0,0.0,0.010822510822510822,0.017316017316017316,0.025974025974025972,0.01515151515151515,0.08441558441558442,0.023809523809523808,0.06060606060606061
3,4,1167,50,128,81.87,7.6,7.8,4.94,8.2,5.59,6.571428571428571,9.69,7th and 8th grade,0.009417808219178082,0.00684931506849315,0.01797945205479452,0.0059931506849315065,0.01113013698630137,0.011986301369863013,0.010273972602739725,0.016267123287671232,0.01797945205479452,0.019691780821917807,0.0625,0.04452054794520548,0.017979452054794523
4,5,745,41,112,87.25,5.5,8.3,5.57,6.7,5.95,6.714285714285714,8.11,5th and 6th grade,0.0174496644295302,0.009395973154362415,0.038926174496644275,0.0174496644295302,0.006711409395973154,0.010738255033557046,0.025503355704697986,0.03087248322147651,0.026845637583892617,0.028187919463087248,0.12214765100671139,0.06577181208053691,0.05637583892617448
5,6,547,35,96,89.68,4.6,6.0,4.75,4.8,5.34,4.777777777777778,6.68,4th and 5th grade,0.020072992700729927,0.016423357664233574,0.03832116788321168,0.0145985401459854,0.012773722627737225,0.01824817518248175,0.020072992700729927,0.02919708029197081,0.01824817518248175,0.031021897810218985,0.10583941605839417,0.08029197080291971,0.025547445255474463
6,7,1591,73,166,91.95,5.8,6.7,4.35,7.2,1.81,6.285714285714286,8.93,6th and 7th grade,0.00754242614707731,0.00754242614707731,0.03645505971087366,0.009428032683846635,0.00754242614707731,0.010056568196103077,0.018227529855436818,0.020741671904462584,0.021998742928975468,0.010056568196103077,0.09742300439974852,0.037083595223130095,0.060339409176618425
7,8,4815,246,471,85.73,6.1,7.4,4.76,6.5,1.6,5.75,8.12,5th and 6th grade,0.008098006644518266,0.008098006644518266,0.036960132890365566,0.0168189368770764,0.007267441860465111,0.011420265780730885,0.01578073089700995,0.02242524916943524,0.02699335548172763,0.02180232558139537,0.10215946843853838,0.05813953488372092,0.04401993355481745
8,9,7275,358,62,86.13,5.9,8.1,6.27,8.0,1.67,7.833333333333334,8.05,7th and 8th grade,0.00783505154639176,0.008797250859106539,0.03436426116838485,0.010584192439862555,0.011134020618556714,0.010446735395189016,0.016769759450171843,0.019518900343642637,0.019106529209622018,0.024192439862542988,0.08975945017182135,0.054020618556701094,0.03573883161512026
9,10,4860,226,2,76.86,7.4,8.7,7.37,9.4,5.77,11.0,8.77,8th and 9th grade,0.010699588477366259,0.007613168724279838,0.03600823045267482,0.01049382716049383,0.010905349794238687,0.013580246913580252,0.011111111111111115,0.022016460905349748,0.019341563786008206,0.025102880658436143,0.0884773662551439,0.05679012345679007,0.031687242798353825
10,11,10600,529,0,78.59,6.8,8.7,6.67,8.4,5.6,8.0,8.28,6th and 7th grade,0.011037735849056615,0.008396226415094332,0.03264150943396238,0.013584905660377388,0.012169811320754736,0.01575471698113212,0.014811320754717019,0.018679245283018932,0.01698113207547175,0.030377358490566185,0.08311320754717008,0.06811320754717003,0.015000000000000055
11,12,5479,240,0,75.84,7.8,9.1,7.14,9.8,5.99,13.0,9.42,9th and 10th grade,0.012958569081949256,0.009490782989596639,0.03650301149844871,0.01496623471436393,0.015148749771856172,0.015878810001825148,0.01715641540427086,0.021901806899069225,0.020259171381639022,0.031940135061142676,0.09582040518342781,0.0722759627669284,0.023544442416499417
12,13,9172,379,6,65.96,9.5,11.0,8.76,11.8,6.4,10.8,10.72,10th and 11th grade,0.010466637592673361,0.007195813344962925,0.03543392935019639,0.012865242040994351,0.011338857392062812,0.01613606628870479,0.014282599215002209,0.02398604448320985,0.022895769733973035,0.030854775403401775,0.09659834278238147,0.06705189707806383,0.029546445704317637
13,14,14195,678,3,77.57,7.2,9.0,7.08,8.9,5.62,11.6,8.57,8th and 9th grade,0.010003522367030624,0.00760831278619231,0.03374427615357553,0.013737231419513878,0.009580838323353274,0.015427967594223276,0.016696019725255352,0.0172595984501585,0.02155688622754499,0.026769989432899096,0.08925678055653437,0.06354350123282856,0.025713279323705804
14,15,1788,70,0,73.21,8.8,11.2,7.72,11.3,6.45,10.8,11.36,10th and 11th grade,0.009507829977628633,0.005033557046979865,0.03131991051454142,0.011744966442953017,0.0072706935123042485,0.012304250559284113,0.007829977628635345,0.014541387024608497,0.020134228187919472,0.02348993288590606,0.07382550335570474,0.05257270693512305,0.021252796420581692
15,16,16256,765,8,77.27,7.3,9.3,7.31,9.3,5.69,10.8,8.92,8th and 9th grade,0.010088582677165338,0.008181594488188964,0.0350639763779527,0.01341043307086612,0.00928887795275589,0.014210137795275567,0.015255905511810998,0.021284448818897603,0.020361712598425164,0.02755905511811019,0.09196604330708646,0.06336122047244085,0.02860482283464562
16,17,9761,477,139,86.23,5.9,8.2,5.92,7.7,5.44,5.875,8.19,5th and 6th grade,0.009116050394345992,0.010959745979719339,0.030933114821263926,0.01659326026836012,0.011881593772406012,0.012393731435009719,0.014851992215507514,0.016695687800880862,0.01864181091877495,0.0306258322237017,0.08112260575642725,0.07057256990679088,0.010550035849636374
